gsn,atc
5806,D10AE
5807,D10AE
5810,D10AE
5811,D10AE
5813,D10AE
5814,D10AE
5815,D10AE
5817,D10AE
5819,D10AE
5820,D10AE
5821,D10AE
5822,D10AE
5847,D10AB
6017,M02AB
6017,N01BX
6174,D11AX
6176,D11AX
6208,D01AE
6209,D01AE
6289,B05BC
6289,D02AE
6291,B05BC
6291,D02AE
6295,B05BC
6295,D02AE
6298,B05BC
6298,D02AE
6303,D05AD
6303,D05BA
6312,D11AX
6313,D11AX
6315,D11AX
6346,B02BD
6415,C10AB
6416,C10AB
6460,C10AA
6461,C10AA
6463,H04AA
6465,H04AA
6503,B02AA
6504,B02AA
6505,B02AA
6506,B02AA
6508,B01AD
6508,S01XA
6520,B01AB
6520,C05BA
6520,S01XA
6521,B01AB
6521,C05BA
6521,S01XA
6528,B01AB
6528,C05BA
6528,S01XA
6539,B01AB
6539,C05BA
6539,S01XA
6546,B01AB
6546,C05BA
6546,S01XA
6551,B01AB
6551,C05BA
6551,S01XA
6552,B01AB
6552,C05BA
6552,S01XA
6559,B01AA
6560,B01AA
6561,B01AA
6562,B01AA
6563,B01AA
6573,C04AD
6575,G03GB
6582,H01AC
6584,H01CB
6585,H01CB
6586,H01CB
6597,H01AA
6600,G03XA
6601,G03XA
6602,G03XA
6603,G02CB
6603,N04BC
6604,G02CB
6604,N04BC
6614,H01BA
6617,H01BA
6645,H03AA
6646,H03AA
6648,H03AA
6649,H03AA
6650,H03AA
6651,H03AA
6652,H03AA
6653,H03AA
6654,H03AA
6655,H03AA
6656,H03AA
6657,H03AA
6658,H03AA
6659,H03AA
6660,H03AA
6668,H03AA
6673,H03BA
6674,H03BB
6675,H03BB
6681,H05BA
6685,H02AB
6685,S01BA
6686,H02AB
6686,S01BA
6696,A01AC
6696,A07EA
6696,C05AA
6696,D07AA
6696,D07XA
6696,H02AB
6696,S01BA
6696,S01CB
6696,S02BA
6699,A01AC
6699,A07EA
6699,C05AA
6699,D07AA
6699,D07XA
6699,H02AB
6699,S01BA
6699,S01CB
6699,S02BA
6703,A01AC
6703,A07EA
6703,C05AA
6703,D07AA
